code,nom,pourcentage,complet
01249,Miribel,"100,00",oui
02011,Ambleny,"100,00",oui
02063,Bellenglise,"100,00",oui
02135,Buironfosse,"100,00",oui
02139,Caillouël-Crépigny,"100,00",oui
02160,Chaourse,"100,00",oui
02243,Crouy,"100,00",oui
02307,La Ferté-Milon,"100,00",oui
02336,Frières-Faillouël,"100,00",oui
02360,Villeneuve-sur-Aisne,"100,00",oui
02539,Nauroy,"100,00",oui
02554,Nogentel,"100,00",oui
02558,Le Nouvion-en-Thiérache,"100,00",oui
02719,Sinceny,"100,00",oui
02788,Versigny,"100,00",oui
02810,Villers-Cotterêts,"100,00",oui
02821,Vivaise,"100,00",oui
03082,Commentry,"100,00",oui
03093,Creuzier-le-Neuf,"100,00",oui
03101,Domérat,"100,00",oui
03155,Lurcy-Lévis,"100,00",oui
03225,Saint-Désiré,"100,00",oui
03315,Villefranche-d'Allier,"100,00",oui
04070,Digne-les-Bains,"92,30",non
04084,Estoublon,"100,00",oui
04145,Peipin,"100,00",oui
04149,Peyruis,"100,00",oui
04166,Riez,"100,00",oui
04209,Sisteron,"100,00",oui
05006,L'Argentière-la-Bessée,"100,00",oui
05036,Châteauroux-les-Alpes,"100,00",oui
05132,Saint-Bonnet-en-Champsaur,"100,00",oui
05162,La Saulce,"100,00",oui
05178,Ventavon,"100,00",oui
06138,Théoule-sur-Mer,"100,00",oui
06151,Utelle,"100,00",oui
06163,Tende,"100,00",oui
07117,Lablachère,"100,00",oui
07155,Mercuer,"100,00",oui
07186,Privas,"100,00",oui
07201,Ruoms,"100,00",oui
07259,Saint-Just-d'Ardèche,"100,00",oui
07334,Les Vans,"100,00",oui
07343,Vinezac,"100,00",oui
08087,Brognon,"100,00",oui
08139,Deville,"100,00",oui
08180,La Francheville,"100,00",oui
08190,Givet,"100,00",oui
08222,Haybes,"100,00",oui
08331,Noyers-Pont-Maugis,"100,00",oui
08362,Rethel,"100,00",oui
08363,Revin,"50,00",non
08366,Rocquigny,"100,00",oui
08497,Warcq,"100,00",oui
09122,Foix,"100,00",oui
09194,Mirepoix,"100,00",oui
09200,Montbel,"100,00",oui
09261,Saint-Girons,"100,00",oui
10006,Arcis-sur-Aube,"100,00",oui
10245,Montaulin,"100,00",oui
10420,Villenauxe-la-Grande,"100,00",oui
11028,Belcaire,"100,00",oui
11068,Capendu,"100,00",oui
11253,Montolieu,"100,00",oui
11256,Montséret,"100,00",oui
11261,Moux,"100,00",oui
11332,Saint-André-de-Roquelongue,"100,00",oui
11375,Seignalens,"100,00",oui
12089,Decazeville,"100,00",oui
12197,Réquista,"100,00",oui
12231,Saint-Jean-du-Bruel,"100,00",oui
13035,Eyguières,"100,00",oui
13050,Lambesc,"100,00",oui
13066,Noves,"100,00",oui
13086,Roquevaire,"100,00",oui
13102,Saint-Victoret,"0,00",non
13104,Sausset-les-Pins,"100,00",oui
13109,Le Tholonet,"100,00",oui
14106,Bréville-les-Monts,"100,00",oui
14174,Condé-en-Normandie,"100,00",oui
14333,Honfleur,"100,00",oui
14342,Isigny-sur-Mer,"100,00",oui
14354,Langrune-sur-Mer,"100,00",oui
14371,Livarot-Pays-d'Auge,"100,00",oui
14579,Seulline,"100,00",oui
14614,Sainte-Marguerite-d'Elle,"100,00",oui
14652,Saint-Pierre-du-Mont,"100,00",oui
14712,Troarn,"100,00",oui
14754,Villers-sur-Mer,"100,00",oui
15053,Coltines,"100,00",oui
15120,Mauriac,"100,00",oui
15153,Pleaux,"100,00",oui
15213,Saint-Saturnin,"100,00",oui
15216,Saint-Urcize,"100,00",oui
16049,Bonnes,"100,00",oui
16068,Cellefrouin,"100,00",oui
16081,La Chapelle,"100,00",oui
16211,Marthon,"100,00",oui
16382,Torsac,"100,00",oui
17024,Aulnay,"100,00",oui
17034,Barzan,"100,00",oui
17051,Le Bois-Plage-en-Ré,"100,00",oui
