source,code_departement,nom_departement,code_circonscription,nom_circonscription,tour,taux_depouillment,inscrits,abstentions,votants,blancs,nuls,exprimes,type_scrutin,num_liste,nom_liste,cod_nua,lib_nua,nb_voix,rapport_exprimes,nb_sieges,nb_sieges_cm,nom_candidat,prenom_candidat,elu
communes,02,Aisne,02063,Bellenglise,2,"100,00",301,55,246,2,6,238,proportionnel,1,Rassemblés pour agir,,,117,"49,16",2,,DUVAL,Denis,OUI
communes,02,Aisne,02063,Bellenglise,2,"100,00",301,55,246,2,6,238,proportionnel,3,Entraide et Renouveau,,,121,"50,84",9,,BEAUSIR,Cyril,OUI
communes,02,Aisne,02135,Buironfosse,2,"100,00",793,157,636,5,7,624,proportionnel,2,ENSEMBLE POUR UN AVENIR COMMUN,,,168,"26,92",2,2,PASCUAL,Jean-Claude,OUI
communes,02,Aisne,02135,Buironfosse,2,"100,00",793,157,636,5,7,624,proportionnel,3,"Ensemble, une nouvelle énergie pour demain",,,311,"49,84",12,12,ALLOT,Stéphane,OUI
communes,02,Aisne,02135,Buironfosse,2,"100,00",793,157,636,5,7,624,proportionnel,1,"UNIR,AGIR,CONSTRUIRE",,,145,"23,24",1,1,BODCHON,Jonathan,OUI
communes,02,Aisne,02139,Caillouël-Crépigny,2,"100,00",366,99,267,0,1,266,proportionnel,4,ACTION ET RÉNOVATION COMMUNALE,,,147,"55,26",9,,ALBARIC,Alain,OUI
communes,02,Aisne,02139,Caillouël-Crépigny,2,"100,00",366,99,267,0,1,266,proportionnel,3,TOUS UNIS POUR CAILLOUËL-CRÉPIGNY,,,119,"44,74",2,,MENNESSIER,Éric,OUI
communes,02,Aisne,02160,Chaourse,2,"100,00",345,84,261,6,4,251,proportionnel,1,Génération renouveau,,,99,"39,44",2,,PARFAIT,Eddy,OUI
communes,02,Aisne,02160,Chaourse,2,"100,00",345,84,261,6,4,251,proportionnel,2,CHAOURSE AUTREMENT,,,152,"60,56",9,,DUPONT,Sylvain,OUI
communes,02,Aisne,02539,Nauroy,2,"100,00",526,145,381,6,2,373,proportionnel,1,Ensemble faisons revivre Nauroy,,,111,"29,76",2,,GAJENSKI,Astrid,OUI
communes,02,Aisne,02539,Nauroy,2,"100,00",526,145,381,6,2,373,proportionnel,2,Redynamisons Nauroy,,,145,"38,87",11,,CAIRE,Jean-Louis,OUI
communes,02,Aisne,02539,Nauroy,2,"100,00",526,145,381,6,2,373,proportionnel,3,Nauroy avec vous,,,117,"31,37",2,,TOURNEUX,Romaric,OUI
communes,02,Aisne,02558,Le Nouvion-en-Thiérache,2,"100,00",1726,460,1266,11,8,1247,proportionnel,1,"Une ville qui vous ressemble, une équipe qui vous rassemble",,,433,"34,72",3,3,CAIL,Roselyne,OUI
communes,02,Aisne,02558,Le Nouvion-en-Thiérache,2,"100,00",1726,460,1266,11,8,1247,proportionnel,3,THIERACHE D'AVENIR - UN NOUVEAU SOUFFLE POUR LE NOUVION,,,249,"19,97",2,2,HOUACINE,Didier,OUI
communes,02,Aisne,02558,Le Nouvion-en-Thiérache,2,"100,00",1726,460,1266,11,8,1247,proportionnel,2,Tous pour le Nouvion,,,565,"45,31",14,14,BETREMIEUX,Erick,OUI
communes,02,Aisne,02788,Versigny,2,"100,00",322,62,260,3,5,252,proportionnel,3,POUR UN VILLAGE DYNAMIQUE,,,126,"50,00",2,,CARLIER,Nathalie,OUI
communes,02,Aisne,02788,Versigny,2,"100,00",322,62,260,3,5,252,proportionnel,1,RACINES ET AVENIR POUR VERSIGNY,,,126,"50,00",9,,JONNEAU,Nathalie,OUI
communes,02,Aisne,02821,Vivaise,2,"100,00",557,107,450,2,1,447,proportionnel,1,AGISSONS ENSEMBLE AVEC ELAN ET DYNAMISME,,,250,"55,93",12,,VIANAS,Jean-Marc,OUI
communes,02,Aisne,02821,Vivaise,2,"100,00",557,107,450,2,1,447,proportionnel,4,BIEN VIVRE A VIVAISE,,,197,"44,07",3,,SIMPHAL,Rémi,OUI
communes,03,Allier,03093,Creuzier-le-Neuf,2,"100,00",905,278,627,3,1,623,proportionnel,3,"LE BON SENS, AU SERVICE DE TOUS",,,91,"14,61",1,1,LOVATY,Roland,OUI
communes,03,Allier,03093,Creuzier-le-Neuf,2,"100,00",905,278,627,3,1,623,proportionnel,2,Maintenons le cap,,,295,"47,35",11,11,LAPLACE,Thierry,OUI
communes,03,Allier,03093,Creuzier-le-Neuf,2,"100,00",905,278,627,3,1,623,proportionnel,1,ENSEMBLE ON AGIT,,,237,"38,04",3,3,PÉRISSE,Carole,OUI
communes,03,Allier,03101,Domérat,2,"100,00",7069,2795,4274,78,95,4101,proportionnel,3,"Domérat, Union-Écoute-Ambition",LDVG,Liste divers gauche,2125,"51,82",22,22,MALBET,Marc,OUI
communes,03,Allier,03101,Domérat,2,"100,00",7069,2795,4274,78,95,4101,proportionnel,2,Bien vivre à Domérat,LDVC,Liste divers centre,1976,"48,18",7,7,DEQUAIRE,Laurent,OUI
communes,03,Allier,03225,Saint-Désiré,2,"100,00",398,84,314,3,1,310,proportionnel,2,"AGIR ENSEMBLE, CONSTRUIRE DEMAIN",,,131,"42,26",2,,PIERREL,Patrice,OUI
communes,03,Allier,03225,Saint-Désiré,2,"100,00",398,84,314,3,1,310,proportionnel,1,ST DESIRE D'ABORD ST DESIRE TOUJOURS,,,134,"43,23",8,,VERMEZ,Nadège,OUI
communes,03,Allier,03225,Saint-Désiré,2,"100,00",398,84,314,3,1,310,proportionnel,3,SAINT-DESIRÉ ENSEMBLE AUTREMENT,,,45,"14,52",1,,VALLET,François,OUI
communes,03,Allier,03315,Villefranche-d'Allier,2,"100,00",835,160,675,2,6,667,proportionnel,1,Agir ensemble pour Villefranche,,,218,"32,68",2,2,BUREAU,David,OUI
communes,03,Allier,03315,Villefranche-d'Allier,2,"100,00",835,160,675,2,6,667,proportionnel,2,"CONTINUONS, POUR VILLEFRANCHE",,,130,"19,49",1,1,LABOISSE,Denis,OUI
communes,03,Allier,03315,Villefranche-d'Allier,2,"100,00",835,160,675,2,6,667,proportionnel,3,AVEC VOUS,,,319,"47,83",12,12,AUBERGER,Josiane,OUI
communes,04,Alpes-de-Haute-Provence,04084,Estoublon,2,"100,00",408,55,353,5,3,345,proportionnel,1,Ensemble pour l'Avenir d'ESTOUBLON,,,47,"13,62",0,,MAZZARA,Serge,NON
